Gas,O2,O2,N2,N2,H2,H2,CH4,CH4,CO2,CO2
Dataset,Linear,Ladder,Linear,Ladder,Linear,Ladder,Linear,Ladder,Linear,Ladder
Count,489.0,46.0,486.0,51.0,311.0,45.0,425.0,50.0,466.0,50.0
Mean,390.00372295501023,536.9565217391304,295.5721341748971,128.78941176470587,1160.6673964630224,1836.6977777777777,777.2993441176469,156.19639999999998,1232.2343054721032,1784.7879999999998
Median,3.29,220.0,0.655,40.0,36.0,775.0,0.577,22.5,15.0,493.0
Min,0.00028,2.5,0.00016,0.4,0.0228,36.0,0.0018,0.3,0.0018,10.0
Max,18700.0,2150.0,16600.0,525.0,36800.0,7760.0,35000.0,710.0,47000.0,7340.0
