PID,Type,SMILES,H2,CO2,O2,N2,CH4
Perm448,Polymers with High Free Volume,CC1=CC(C2=CC(C)=C(*)C3=C2C=CC=C3)=C2C=CC=CC2=C1N1C(=O)C2=CC3=C(C=C2C1=O)C1(C)C2=CC4=C(C=C2C3(C)C2=C1C=CC=C2)C(=O)N(*)C4=O,2740.0,3350.0,696.0,158.0,187.0
Perm449,Polymers with High Free Volume,CC1=CC(C2=CC(C)=C(*)C3=C2C=CC=C3)=C2C=CC=CC2=C1N1C(=O)C2=CC3=C(C=C2C1=O)C1(CC(C)(C)C2=CC4=C(C=C12)C(=O)N(*)C4=O)CC3(C)C,1615.0,4032.0,640.0,212.0,359.0
Perm450,High Temperature Polymers,CC1=CC(C2=CC(C)=C(*)C3=C2C=CC=C3)=C2C=CC=CC2=C1N1C(=O)C2=CC3=C(OC4=CC5=C(C=C4O3)C(C)(C)CC53CC(C)(C)C4=CC5=C(OC6=CC7=C(C=C6O5)C(=O)N(*)C7=O)C=C34)C=C2C1=O,1310.0,2985.0,432.5,130.0,215.0
Perm451,Polymers with High Free Volume,CC1=CC(C2=CC(C)=C(N3C(=O)C4=CC5=C(C=C4C3=O)C3(C)CCC5(C)C4=CC5=C(C=C34)C(=O)N(*)C5=O)C3=C2C=CC=C3)=C2C=CC=CC2=C1*,3545.0,5285.0,1019.5,250.0,306.5
Perm452,Polyimides and Polypyrrolones,CC1=CC(CC2=CC(C)=C(C=C2)N2C(=O)C3=CC=C(C=C3C2=O)C(C2=CC3=C(C=C2)C(=O)N(*)C3=O)(C(F)(F)F)C(F)(F)F)=CC=C1*,,8.75,2.51,0.406,0.198
Perm453,Polyimides and Polypyrrolones,CC1=CC(CC2=CC(C)=C(C=C2)N2C(=O)C3=CC=C(C=C3C2=O)C2=CC3=C(C=C2)C(=O)N(*)C3=O)=CC=C1*,,1.41,0.369,0.0483,0.0278
Perm454,Polyimides and Polypyrrolones,CC1=CC(CC2=CC(C)=C(N3C(=O)C4=CC5=C(C=C4C3=O)C(=O)N(*)C5=O)C(C)=C2)=CC(C)=C1*,,97.6,27.4,7.08,8.21
Perm455,Polyimides and Polypyrrolones,CC1=CC(CC2=CC(C)=C(N3C(=O)C4=CC=C(C=C4C3=O)C(C3=CC4=C(C=C3)C(=O)N(*)C4=O)(C(F)(F)F)C(F)(F)F)C(C)=C2)=CC(C)=C1*,,43.9,10.3,2.13,1.45
Perm456,Polyimides and Polypyrrolones,CC1=CC(CC2=CC(C)=C(N3C(=O)C4=CC=C(C=C4C3=O)C3=CC4=C(C=C3)C(=O)N(*)C4=O)C(C)=C2)=CC(C)=C1*,,22.4,4.73,0.913,0.818
Perm457,Polysulfones,CC1=CC(CC2=CC(C)=C(OC3=CC=C(C=C3)S(=O)(=O)C3=CC=C(O*)C=C3)C(C)=C2)=CC(C)=C1*,34.5,15.0,3.3,0.611,0.577
Perm458,Polyimides and Polypyrrolones,CC1=CC(OC2=CC3=C(C=C2)C(=O)N(C3=O)C2=C(C)C(*)=CC(C)=C2C)=C(OC2=CC=C3C(=O)N(*)C(=O)C3=C2)C=C1,41.0,22.0,3.9,0.65,0.57
Perm459,Polyimides and Polypyrrolones,CC1=CC(OC2=CC3=C(C=C2)C(=O)N(C3=O)C2=C(C)C(C)=C(*)C(C)=C2C)=C(OC2=CC=C3C(=O)N(*)C(=O)C3=C2)C=C1,41.0,20.0,3.5,0.59,0.47
Perm460,Polyimides_NEW,CC1=CC(OC2=CC=C(C=C2)C2(C3=C(C=CC=C3)C3=C2C=CC=C3)C2=CC=C(OC3=CC=C(N4C(=O)C5=C(C=C(C=C5)C(C5=CC=C6C(=O)N(*)C(=O)C6=C5)(C(F)(F)F)C(F)(F)F)C4=O)C(C)=C3)C=C2)=CC=C1*,47.29,11.69,3.62,0.73,0.34
Perm461,Polyimides_NEW,CC1=CC(OC2=CC=C(C=C2)C2(OC(=O)C3=CC=CC=C23)C2=CC=C(OC3=CC=C(N4C(=O)C5=C(C=C(C=C5)C(C5=CC6=C(C=C5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)C4=O)C(C)=C3)C=C2)=CC=C1*,,21.35,5.715,1.1,0.56
Perm462,Polyimides_NEW,CC1=CC2=C(C3C4=C(C=CC=C4)C2C2=C3C(C)=C(N3C(=O)C4=C(C=C(C=C4)C(C4=CC=C5C(=O)N(*)C(=O)C5=C4)(C(F)(F)F)C(F)(F)F)C3=O)C(C)=C2)C(C)=C1*,1400.0,1727.0,374.0,113.0,121.0
Perm463,Polyimides_NEW,CC1=CC2=C(C3C4=C(C=CC=C4)C2C2=C3C(C)=C(N3C(=O)C4=C(C=C5C(=O)N(*)C(=O)C5=C4)C3=O)C(C)=C2)C(C)=C1*,2375.0,3361.0,680.0,180.0,238.0
Perm464,Polyimides_NEW,CC1=CC2=C(C3C4=C(C=CC=C4)C2C2=C3C(C)=C(N3C(=O)C4=CC=C5C(=O)N(*)C(=O)C6=C5C4=C(C=C6)C3=O)C(C)=C2)C(C)=C1*,1484.0,1861.0,390.0,97.0,122.0
Perm465,Polyimides_NEW,CC1=CC2=C(C3C4=C(C=CC=C4)C2C2=C3C(C)=C(N3C(=O)C4C(C5C=CC4C4C5C(=O)N(*)C4=O)C3=O)C(C)=C2)C(C)=C1*,1596.0,1313.0,308.0,71.0,69.0
Perm466,Polyimides and Polypyrrolones,CC1=CC2=C(C=C1*)S(=O)(=O)C1=CC(N3C(=O)C4=CC5=C(C=C4C3=O)S(=O)(=O)C3=CC4=C(C=C3S5(=O)=O)C(=O)N(*)C4=O)=C(C)C=C21,,24.0,,0.7,0.59
Perm467,Polyimides and Polypyrrolones,CC1=CC2=C(C=C1*)S(=O)(=O)C1=CC(N3C(=O)C4=CC=C(C=C4C3=O)C(C3=CC4=C(C=C3)C(=O)N(*)C4=O)(C(F)(F)F)C(F)(F)F)=C(C)C=C21,156.0,73.45,16.5,3.265,1.735
Perm468,Polyimides and Polypyrrolones,CC1=CC2=C(C=C1*)S(=O)(=O)C1=CC(N3C(=O)C4=CC=C(C=C4C3=O)C3=CC4=C(C=C3)C(=O)N(*)C4=O)=C(C)C=C21,,2.74,0.577,0.0763,0.037
Perm469,Polyimides and Polypyrrolones,CC1=CC2=C(C=C1*)S(=O)(=O)C1=CC(N3C(=O)C4=CC=C(C=C4C3=O)S(=O)(=O)C3=CC4=C(C=C3)C(=O)N(*)C4=O)=C(C)C=C21,45.4,14.1,3.29,0.37,0.244
Perm470(ladder),Polymers with High Free Volume,CC1=CC2=C(C=C1C)C1(C3=C(C=C(C)C(C)=C3)C3=C1C=C1OC4=C(OC1=C3)C(C#N)=C(*)C(*)=C4C#N)C1=C2C=C(O*)C(O*)=C1,6700.0,13085.0,2365.0,658.0,1102.0
Perm471,Polyimides_NEW,CC1=CC2=C(C=C1OC1=CC=C(*)C=C1)C(C)(C)CC1(CC(C)(C)C3=CC(OC4=CC=C(*)C=C4)=C(C)C=C3O1)O2,,29.27,6.17,1.33,0.77
Perm472,Polyimides and Polypyrrolones,CC1=CC2C(C=C1*)S(=O)(=O)C1=C2C=C(C)C(=C1)N1C(=O)C2=CC=C(C=C2C1=O)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C(F)(F)F)C(F)(F)F,179.0,91.0,23.5,5.14,2.51
Perm473,Polyimides and Polypyrrolones,CC1=CC=C(C)C(OC2=CC=C3C(=O)N(*)C(=O)C3=C2)=C1OC1=CC2=C(C=C1)C(=O)N(C2=O)C1=C(C)C(C)=C(*)C(C)=C1C,100.0,63.0,11.0,2.05,1.9
Perm474,Substituted Polyacetylenes,CC1=CC=C(C=C1)C(*)=C(*)C1=CC=C2C(=C1)C(C)(C)CC2(C)C,10800.0,16900.0,5700.0,4100.0,10100.0
Perm475,Vinyl and Vinylidene Polymers,CC1=CC=C(C=C1)C(*)C*,,29.8,7.2,1.5,2.2
Perm476,Poly(aryl ethers) and Poly(aryl ether ketones),CC1=CC=C(C=C1)C(=O)C1=C(*)C=C(C)C(O*)=C1C,,21.4,7.36,2.42,1.49
Perm477,Vinyl and Vinylidene Polymers,CC1=CC=C(C=C1)C(=O)OC(*)C*,,6.73,1.72,0.339,0.417
Perm478(ladder),Polymers with High Free Volume,CC1=CC=C(C=C1)C1=C(C2=CC=C(C)C=C2)C(C2=CC=C3OC4=C(OC3=C2)C(C#N)=C(*)C(*)=C4C#N)=C(C2=CC=C(C)C=C2)C(C2=CC=C(C)C=C2)=C1C1=CC=C(O*)C(O*)=C1,856.0,1630.0,256.0,60.0,132.0
Perm479,Polynorbornenes,CC1=CC=C(C=C1)S(=O)(=O)OCC1CC(CC1*)\C=C/*,,,0.37,0.06,
Perm480,Polyimides and Polypyrrolones,CC1=CC=C(OC2=CC3=C(C=C2C2=C(OC4=CC=C(C)C=C4)C=C4C(=O)N(C(=O)C4=C2)C2=CC=C(OC4=CC=C(*)C=C4)C=C2)C(=O)N(*)C3=O)C=C1,,44.0,4.99,1.25,1.45
Perm481,Polyimides and Polypyrrolones,CC1=CC=CC(OC2=CC=C3C(=O)N(*)C(=O)C3=C2)=C1OC1=CC2=C(C=C1)C(=O)N(C2=O)C1=C(C)C(C)=C(*)C(C)=C1C,51.0,27.0,4.8,0.83,0.7
Perm482,Vinyl and Vinylidene Polymers,CC1=CC=CC=C1C(=O)OC(*)C*,,2.23,0.47,0.0859,0.115
Perm483,Poly(aryl ethers) and Poly(aryl ether ketones),CC1CC(*)C(Br)C(C)C1O*,,66.75,,,3.68
Perm484,Poly(aryl ethers) and Poly(aryl ether ketones),CC1CC(*)C(C(C)C1O*)S(O)(=O)=O,,13.8,0.98,0.16,
Perm485,Poly(aryl ethers) and Poly(aryl ether ketones),CC1CC(C)(C)CC(C1)(C1=CC2C(C=C1)C(=O)N(C2=O)C1=CC=C(O*)C=C1)C1=CC=C2C(=C)N(C(=C)C2=C1)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C3C(=C2)C(C)(C)CC3(C)C2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)C=C1,36.0,18.9,3.58,0.64,
Perm486,Carbon Molecular Sieves,CC1N(*)C=CN1[Zn]*,,,,,
Perm487,Vinyl and Vinylidene Polymers,CCC(C)OC(=O)C(*)C(*)C(=O)OC(C)(C)C,145.0,,39.0,13.0,
Perm488,Vinyl and Vinylidene Polymers,CCC(C)OC(=O)C(*)C(*)C(=O)OC(C)C,51.0,,12.0,5.0,
Perm489,Polyphosphazenes,CCC(C)OP(*)(OC(C)CC)=N*,95.0,177.0,40.7,13.4,39.1
Perm490(ladder),Polymers with High Free Volume,CCC1(C)CC2(C(C)C(C)(CC)C3=CC4=C(OC5=C(O4)C(C#N)=C(*)C(*)=C5C#N)C=C23)C2=CC(O*)=C(O*)C=C12,2100.0,6100.0,820.0,320.0,580.0
Perm491,Parylenes,CCC1=CC(C*)=CC=C1C*,4.31,1.89,0.5,0.0904,
Perm492,Polyamides and poly(amide-imides),CCC1=CC(CC)=C(N2COC3=C(C2)C=CC=C3)C(C)=C1N1COC2=C(C1)C=CC=C2,,32.9,5.7,1.12,
Perm493,Polypropynes & Polyalkynes,CCCC(*)=C(C)*,160.0,120.0,39.0,12.0,21.0
Perm494,Substituted Polyacetylenes,CCCCC1=CC=C(C=C1)C(*)=C(*)C1=CC=CC=C1,,160.0,37.0,11.0,
Perm495,Polypropynes & Polyalkynes,CCCCCC(*)=C(C)*,150.0,200.0,57.0,21.0,51.0
Perm496,Polypropynes & Polyalkynes,CCCCCCC(*)=C(C)*,140.0,230.0,60.0,23.0,64.0
Perm497,Polypropynes & Polyalkynes,CCCCCCCC(*)=C(C)*,145.0,290.0,72.5,29.0,83.5
Perm498,Conjugated Polymers (excl. subst. acetylenes/propynes),CCCCCCCCCCCCC1=C(*)SC(*)=C1,,88.2,20.2,9.4,
Perm499,Conjugated Polymers (excl. subst. acetylenes/propynes),CCCCCCCCCCCCCCCCCC[Si](C)(C)C1=CC(*)=CC=C1\C=C\*,,61.0,12.0,4.5,
Perm500,Vinyl and Vinylidene Polymers,CCCCCCCCCCCCCCOC(=O)C(*)C*,96.2,297.0,57.1,22.1,65.1
Perm501,Vinyl and Vinylidene Polymers,CCCCCCCCCCOC(=O)C(*)C*,92.7,261.0,47.6,19.0,47.8
Perm502,Polypropynes & Polyalkynes,CCCCCCCCCCSC#CC,78.0,190.0,46.0,16.0,58.0
Perm503,Polypropynes & Polyalkynes,CCCCCCCCSC#CC,91.0,180.0,50.0,19.0,48.0
Perm504,Silicone rubber and variants,CCCCCCCC[Si](C)(*)O*,,932.0,196.0,88.3,313.0
Perm505,Polypropynes & Polyalkynes,CCCCCCCC[Si](C)(C)C(\*)=C(\C)*,47.0,100.0,23.0,19.0,13.0
Perm506,Conjugated Polymers (excl. subst. acetylenes/propynes),CCCCCCCC[Si](C)(C)C1=CC(*)=CC=C1\C=C\*,,60.0,12.0,3.9,
Perm507,Substituted Polyacetylenes,CCCCCCCC[Si](C)(C)C1=CC=C(C=C1)C(*)=C(*)C1=CC=C(C=C1)C(C)(C)C,,100.0,26.0,7.5,
Perm508,Substituted Polyacetylenes,CCCCCCCC[Si](C)(C)C1=CC=C(C=C1)C(*)=C(*)C1=CC=C(C=C1)C(C)C,,120.0,29.0,9.1,
Perm509,Substituted Polyacetylenes,CCCCCCCC[Si](C)(C)C1=CC=C(C=C1)C(*)=C(*)C1=CC=C(CCCC)C=C1,,110.0,25.0,7.9,
Perm510,Polypropynes & Polyalkynes,CCCCCCSC#CC,76.0,150.0,38.0,14.0,45.0
Perm511,Silicone rubber and variants,CCCCCC[Si](C)(*)O*,,,236.0,103.0,
Perm512,High Temperature Polymers,CCCCN1C(*)=NC2=C1C=CC(=C2)C1=CC2=C(C=C1)N(CCCC)C(=N2)C1=CC(=CC(*)=C1)C(C)(C)C,,,,,
Perm513,High Temperature Polymers,CCCCN1C(*)=NC2=C1C=CC(=C2)C1=CC2=C(C=C1)N(CCCC)C(=N2)C1=CC=CC(*)=C1,,,,,
Perm514,Polyphosphazenes,CCCCOP(*)(OCCCC)=N*,170.0,647.0,128.0,55.9,196.0
Perm515,Polypropynes & Polyalkynes,CCCCSC#CC,69.0,160.0,79.0,18.0,89.0
Perm516,Polypropynes & Polyalkynes,CCCC[Si](C)(C)C(\*)=C(\C)*,65.0,100.0,29.0,8.0,17.0
Perm517,Conjugated Polymers (excl. subst. acetylenes/propynes),CCCC[Si](C)(C)C1=CC(*)=CC=C1\C=C\*,,14.0,3.5,1.1,
Perm518,Silicone rubber and variants,CCC[Si](C)(*)O*,,2303.0,394.0,182.0,570.0
Perm519,Polypropynes & Polyalkynes,CCC[Si](C)(C)C(\*)=C(\C)*,250.0,230.0,70.0,21.0,44.0
Perm520,Polyimides and Polypyrrolones,CCN1C2C=CC(*)=CC2C2=C1C=CC(=C2)N1C(=O)C2=CC=C(C=C2C1=O)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C(F)(F)F)C(F)(F)F,81.3,33.8,9.12,1.75,1.03
Perm521,Vinyl and Vinylidene Polymers,CCOC(=O)C(*)C*,60.4,176.0,19.0,6.46,14.9
Perm522,Vinyl and Vinylidene Polymers,CCOC(=O)C(C)(*)C*,21.8,6.025,1.52,0.276,0.347
Perm523,Conjugated Polymers (excl. subst. acetylenes/propynes),CCOC1=C(N*)C=CC(*)=C1,8.1,2.22,0.62,0.107,
Perm524,Cellulosic Polymers,CCOC1C(*)C(COC(=O)NC(C)(C)C)OC(O*)C1OCC,73.0,94.5,16.0,4.3,9.45
Perm525,Cellulosic Polymers,CCOCC1OC(CO*)C(OCC)C(OCC)C1*,54.4,67.7,11.9,3.18,6.1
Perm526,Cellulosic Polymers,CCOCC1OC(O*)C(OCC)C(OCC)C1*,68.0,91.0,15.0,4.3,9.2
Perm527,Vinyl and Vinylidene Polymers,CCOCCOC(=O)C(C)(*)C*,,8.56,1.45,0.385,1.23
Perm528,Vinyl and Vinylidene Polymers,CCOCCOCCOC(=O)C(C)(*)C*,,133.0,11.4,3.6,11.4
Perm529,Vinyl and Vinylidene Polymers,CCOCCOCCOCCOC(=O)C(C)(*)C*,,74.4,3.9,2.0,4.8
Perm530,Polypropynes & Polyalkynes,CCSC#CC,90.0,160.0,30.0,9.0,20.0
Perm531,Silicone rubber and variants,CC[Si](C)(*)O*,,1506.0,331.5,160.0,474.0
Perm532,Polypropynes & Polyalkynes,CC[Si](C)(C)C(\*)=C(\C)*,1930.0,4600.0,970.0,490.0,1200.0
Perm533,Conjugated Polymers (excl. subst. acetylenes/propynes),CC[Si](CC)(CC)C1=CC(*)=CC=C1\C=C\*,,24.0,6.6,1.8,
Perm534,Conjugated Polymers (excl. subst. acetylenes/propynes),CN1C(*)=CC=C1*,,6.9,2.04,0.33,0.22
Perm535,High Temperature Polymers,CN1C(*)=NC2=C1C=CC(=C2)C1=CC2=C(C=C1)N(C)C(=N2)C1=CC(=CC(*)=C1)C(C)(C)C,,,,,
Perm536,High Temperature Polymers,CN1C(*)=NC2=C1C=CC(=C2)C1=CC2=C(C=C1)N(C)C(=N2)C1=CC=CC(*)=C1,,,,,
Perm537,Vinyl and Vinylidene Polymers,COC(=O)C(*)C*,10.6,8.19,1.06,0.2135,0.2625
Perm538,Vinyl and Vinylidene Polymers,COC(=O)C(C)(*)C*,4.1,0.3505,0.08855,0.01135,0.00565
Perm539,Polysulfones,COC(C1=CC(=CC=C1*)C(C)(C)C1=CC(=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(O*)C=C2)C=C1)C(OC)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F,,7.7,2.0,0.26,
Perm540,Conjugated Polymers (excl. subst. acetylenes/propynes),COC1=C(N*)C=CC(*)=C1,6.04,1.06,0.202,0.047,
Perm541,Polyimides and Polypyrrolones,COC1=CC(=CC=C1*)C1=CC=C(N2C(=O)C3=CC=C(C=C3C2=O)[Si](C)(C)C2=CC=C3C(=O)N(*)C(=O)C3=C2)C(OC)=C1,9.33,,0.53,0.096,
Perm542,Polyimides and Polypyrrolones,COC1=CC(=CC=C1N1C(=O)C2=C(C=C(OC3=C(OC4=CC=C5C(=O)N(*)C(=O)C5=C4)C=CC(=C3)C(C)(C)C)C=C2)C1=O)C1=CC(OC)=C(*)C=C1,22.0,6.7,1.4,0.21,0.16
Perm543,Vinyl and Vinylidene Polymers,COC1=CC=C(C=C1)C(*)C*,,18.9,2.6,0.61,0.91
Perm544,Polyimides and Polypyrrolones,COC1=CC=C(C=C1)N(C1=CC=C(*)C=C1)C1=CC=C(C=C1)N1C(=O)C2=C(C=C(C=C2)C(C2=CC=C3C(=O)N(*)C(=O)C3=C2)(C(F)(F)F)C(F)(F)F)C1=O,,16.82,4.28,0.89,0.5
Perm545,Polyimides and Polypyrrolones,COC1=CC=C(C=C1)N(C1=CC=C(OC)C=C1)C1=CC=C(C=C1)N(C1=CC=C(*)C=C1)C1=CC=C(C=C1)N1C(=O)C2=C(C=C(C=C2)C(C2=CC=C3C(=O)N(*)C(=O)C3=C2)(C(F)(F)F)C(F)(F)F)C1=O,,12.97,2.94,0.59,0.4
Perm546,Polyphosphazenes,COCCOCCOP(*)(OCCOCCOC)=N*,25.0,250.0,7.0,4.0,11.0
Perm547,Polyphosphazenes,CP(*)(=N*)C1=CC=CC=C1,,6.5,1.8,0.6,0.7
Perm548,Polyphosphazenes,CP(C)(*)=N*,,29.4,3.53,1.27,
Perm549,Polynorbornenes,C[Ge](C)(C)C1CC2C1C1CC2C(*)C1*,,,,,620.0
Perm550,Substituted Polyacetylenes,C[Ge](C)(C)C1CCCCC1C(*)=C*,310.0,280.0,94.0,39.5,53.5
Perm551,Silicone rubber and variants,C[Si](*)(CCC(F)(F)F)O*,,1388.0,200.0,88.3,201.0
Perm552,Silicone rubber and variants,C[Si](*)(O*)C1=CC=CC=C1,,239.0,28.8,8.59,36.0
Perm553,Silicone rubber and variants,C[Si](C)(*)C*,,549.0,99.0,37.95,130.0
Perm554,Silicone rubber and variants,C[Si](C)(*)C1=CC(=CC=C1)[Si](C)(C)*,,,75.6,31.9,
Perm555,Silicone rubber and variants,C[Si](C)(*)C1=CC=C(C=C1)[Si](C)(C)*,,,14.1,3.39,
Perm556,Various Polymers,C[Si](C)(*)C1=CC=C(C=C1)[Si](C)(C)CC*,,4.01,1.11,0.257,0.53
Perm557,Silicone rubber and variants,C[Si](C)(*)C1=CC=C(C=C1)[Si](C)(C)O*,,65.0,11.0,,12.0
Perm558,Silicone rubber and variants,C[Si](C)(*)C1=CC=CC(=C1)[Si](C)(C)O*,,518.0,74.0,,106.0
Perm559,Silicone rubber and variants,C[Si](C)(*)C=C[Si](C)(C)O*,,,42.3,186.0,
Perm560,Various Polymers,C[Si](C)(*)CCC*,,,9.5,3.0,8.4
Perm561,Silicone rubber and variants,C[Si](C)(*)CCCCCCCC[Si](C)(C)*,,,188.0,76.2,
Perm562,Silicone rubber and variants,C[Si](C)(*)CCCCCCCC[Si](C)(C)O*,,1199.0,237.0,,360.0
Perm563,Silicone rubber and variants,C[Si](C)(*)CCCCCC[Si](C)(C)*,,,182.0,81.0,
Perm564,Silicone rubber and variants,C[Si](C)(*)CCCCCC[Si](C)(C)O*,,1306.0,265.0,,395.0
Perm565,Silicone rubber and variants,C[Si](C)(*)CC[Si](C)(C)O*,,1883.0,394.0,,597.0
Perm566,Silicone rubber and variants,C[Si](C)(*)O*,890.0,4176.5,800.0,351.0,1353.0
Perm567,Vinyl and Vinylidene Polymers,C[Si](C)(C(*)C*)C1=CC=CC=C1,,12.3,2.47,0.45,
Perm568,Vinyl and Vinylidene Polymers,C[Si](C)(C)C(*)C*,200.0,190.0,44.0,11.0,18.0
Perm569,Vinyl and Vinylidene Polymers,C[Si](C)(C)C(C1=CC=C(C=C1)C(*)C*)[Si](C)(C)C,,150.0,37.7,10.1,
Perm570,Polypropynes & Polyalkynes,C[Si](C)(C)C1=CC(=CC=C1)C(*)=C(*)C1=CC=CC=C1,2100.0,4700.0,1200.0,610.0,1500.0
Perm571,Substituted Polyacetylenes,C[Si](C)(C)C1=CC=C(C=C1)C(*)=C(*)C1=CC2=C(C=C1)C1=C(C2)C=CC=C1,3100.0,6450.0,1650.0,950.0,2000.0
Perm572,Substituted Polyacetylenes,C[Si](C)(C)C1=CC=C(C=C1)C(*)=C(*)C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2,900.0,2100.0,460.0,190.0,500.0
Perm573,Substituted Polyacetylenes,C[Si](C)(C)C1=CC=C(C=C1)C(*)=C(*)C1=CC=C2C3=C(C=CC=C3)C3(CC3)C2=C1,1900.0,4100.0,1000.0,540.0,1500.0
Perm574,Substituted Polyacetylenes,C[Si](C)(C)C1=CC=C(C=C1)C(*)=C(*)C1=CC=C2CCCC2=C1,1100.0,2000.0,450.0,170.0,470.0
Perm575,Polymers with High Free Volume,C[Si](C)(C)C1=CC=C(C=C1)C(*)=C(*)C1=CC=CC=C1,2600.0,4700.0,1200.0,550.0,1550.0
Perm576,Vinyl and Vinylidene Polymers,C[Si](C)(C)C1=CC=C(C=C1)C(*)C*,182.0,227.0,56.0,16.0,34.0
Perm577,Substituted Polyacetylenes,C[Si](C)(C)C1=CC=C(C=C1)C1=CC=C(C=C1)C(*)=C(*)C1=CC=CC=C1,810.0,2200.0,390.0,160.0,450.0
Perm578,Polyphosphazenes,C[Si](C)(C)C1=CC=C(OP(*)(OC2=CC=CC=C2)=NP(OC2=CC=C(Br)C=C2)(OC2=CC=C(C=C2)[Si](C)(C)C)=N*)C=C1,,11.6,30.7,9.4,23.3
Perm579,Polynorbornenes,C[Si](C)(C)C1C2C(C1[Si](C)(C)C)C1CC2C(*)C1*,4090.0,11280.0,2380.0,1240.0,3310.0
Perm580,Polynorbornenes,C[Si](C)(C)C1CC(*)CC1\C=C\*,140.0,89.0,30.0,7.2,17.0
Perm581,Polynorbornenes,C[Si](C)(C)C1CC2C1C1CC2C(*)C1*,2060.0,5300.0,990.0,390.0,1010.0
Perm582,Polynorbornenes,C[Si](C)(C)C1CC2CC1C(*)C2*,6700.0,250.0,1700.0,2500.0,1090.0
Perm583,Substituted Polyacetylenes,C[Si](C)(C)CC1=CC=C(C=C1)C(*)=C(*)C1=CC=CC=C1,420.0,640.0,140.0,44.0,120.0
Perm584,Vinyl and Vinylidene Polymers,C[Si](C)(C)CC1=CC=C(C=C1)C(*)C*,54.0,79.75,19.95,25.8,7.8
Perm585,High Temperature Polymers,C[Si](C)(C)CN1C2=C(C=C(C=C2)C2=CC3=C(C=C2)N(C(*)=N3)[Si](C)(C)C)N=C1C1=CC=CC(*)=C1,,,,,
Perm586,Polynorbornenes,C[Si](C)(C)C[Si](C)(C)C1CC(*)CC1\C=C\*,73.0,67.0,16.0,3.7,8.5
Perm587,Polynorbornenes,C[Si](C)(C)OC(O[Si](C)(C)C)(O[Si](C)(C)C)C1CC2C1C1CC2C(*)C1*,,,,,1250.0
Perm588,Polynorbornenes,C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C1C2C(C1[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)C(C*)CC2C*,460.0,840.0,220.0,75.0,215.0
Perm589,Polynorbornenes,C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C1C2C(C1[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)C(CC2C=*)C=*,690.0,1160.0,295.0,100.0,300.0
Perm590,Polyimides and Polypyrrolones,C[Si](C)(C1=CC2=C(C=C1)C(=O)N(*)C2=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(OC2=CC=C(*)C=C2)C=C1,11.7,,0.764,0.104,
Perm591,Polyarylates,C[Si](C)(C1=CC=C(C=C1)C(*)=O)C1=CC=C(C=C1)C(*)=O,27.1,22.2,5.54,1.37,1.39
Perm592,Polyimides and Polypyrrolones,C[Si](C)(C1=CC=C2C(=O)N(*)C(=O)C2=C1)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(*)C=C1,9.4,2.75,0.6,0.105,0.064
Perm593,Polyimides and Polypyrrolones,C[Si](C)(C1=CC=C2C(=O)N(*)C(=O)C2=C1)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)C1=CC=C(*)C=C1,8.38,,0.677,0.109,
Perm594,Polyimides and Polypyrrolones,C[Si](C)(C1=CC=C2C(=O)N(*)C(=O)C2=C1)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(OC2=CC=C(*)C=C2)C=C1,7.955,3.31,0.508,0.104,0.161
Perm595,Polyphosphazenes,C[Si](C)(C1=CC=CC=C1)C1=CC=C(OP(*)(OC2=CC=CC=C2)=NP(OC2=CC=C(Br)C=C2)(OC2=CC=C(C=C2)[Si](C)(C)C2=CC=CC=C2)=N*)C=C1,,44.8,7.8,2.2,5.8
Perm596,Vinyl and Vinylidene Polymers,C[Si](C)(CCCC(F)(F)F)C1=CC=C(C=C1)C(*)C*,109.0,284.0,38.1,11.8,22.0
Perm597,Polyphosphazenes,C[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=C(OP(*)(OC2=CC=CC=C2)=NP(OC2=CC=C(Br)C=C2)(OC2=CC=C(C=C2)[Si](C)(C2=CC=CC=C2)C2=CC=CC=C2)=N*)C=C1,,5.6,1.3,0.31,0.43
Perm598,Polypropynes & Polyalkynes,C\C(*)=C(/*)C1=CC=C(C=C1)[Si](C)(C)C,510.0,950.0,240.0,100.0,200.0
Perm599,Polypropynes & Polyalkynes,C\C(*)=C(/*)[Si](C)(C)C,15000.0,28550.0,9000.0,6600.0,15000.0
