PID,Type,SMILES,density_MD,density_MD_std,n_repeat_vdw,vdw,FFV,CH4,CH4_log10
Perm814,Uncategorised,[H]C1=CC(=CC([H])=C1O*)C1(OC(=O)C2=C1C=CC=C2)C1=CC([H])=C(OC(=O)C2=CC(=CC(=C2)C(*)=O)C(C)(C)C)C([H])=C1,1.0639615084,0.0078009018443379,10,0.533918176452374,0.261511095105421,1.16,0.06445798922691845
Perm815,Polyarylates,[H]C1=CC(=CC([H])=C1O*)C1(OC(=O)C2C=CC=CC12)C1=CC([H])=C(OC(=O)C2=CC(=CC(=C2)C(*)=O)C(C)(C)C)C([H])=C1,1.0581975964,0.0078546293899152,10,0.5390727379179576,0.258420881785585,1.16,0.06445798922691845
Perm817,Polyimides_NEW,[H]C1=CC(OC2=CC=C(C=C2)C2(OC(=O)C3=CC=CC=C23)C2=CC=C(OC3=CC=C(C([H])=C3)N3C(=O)C4=C(C=C(C=C4)C(C4=CC5=C(C=C4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)C3=O)C=C2)=CC=C1*,1.1905493382,0.0079925999552476,10,0.4743687488633787,0.2658127799713251,0.455,-0.34198860334288755
Perm818,Substituted Polyacetylenes,[H]C1=CC2=C(C=C1)C1=CC=C(C=C1C2(C)C)C(*)=C(*)C1=CC(F)=C(F)C=C1,0.8388985353099999,0.0089459903679961,10,0.5360772089329231,0.4153712989970274,12000.0,4.079181246047625
Perm819,Substituted Polyacetylenes,[H]C1=CC2=C(C=C1)C1=CC=C(C=C1C2(C)C)C(*)=C(*)C1=CC(F)=CC(F)=C1,0.87818701535,0.0116212581702475,10,0.5355760170127588,0.3885633249644817,4200.0,3.6232492903979003
Perm820,Substituted Polyacetylenes,[H]C1=CC2=C(C=C1)C1=CC=C(C=C1C2(C)C)C(*)=C(*)C1=CC(F)=CC=C1,0.82458088165,0.0089561651359787,10,0.5564179939188358,0.4035448680110265,11000.0,4.041392685158225
Perm821,Substituted Polyacetylenes,[H]C1=CC2=C(C=C1)C1=CC=C(C=C1C2(C)C)C(*)=C(*)C1=CC=C(Br)C=C1,1.0256030358,0.0116782223204404,10,0.4894733504070827,0.3473930396430885,9300.0,3.9684829485539352
Perm822,Substituted Polyacetylenes,[H]C1=CC2=C(C=C1)C1=CC=C(C=C1C2(C)C)C(*)=C(*)C1=CC=C(C=C1)C(C)(C)C,0.80209677779,0.009078394684714,10,0.6026374087604555,0.3716144191347805,6600.0,3.8195439355418688
Perm824,Substituted Polyacetylenes,[H]C1=CC2=C(C=C1)C1=CC=C(C=C1C2(C)C)C(*)=C(*)C1=CC=C(F)C=C1,0.8852738591799999,0.0103810813282808,10,0.5567215321823645,0.3592936749312103,11000.0,4.041392685158225
Perm825,Substituted Polyacetylenes,[H]C1=CC2=C(C=C1)C1=CC=C(C=C1C2(C)C)C(*)=C(*)C1=CC=CC=C1,0.8342967504599998,0.0094330913937814,10,0.5804557435964323,0.3704459571311498,9100.0,3.9590413923210934
Perm832,Polyimides and Polypyrrolones,[H]C1=CC=C(C=C1)N(C1=CC=C(*)C=C1)C1=CC=C(C=C1)N1C(=O)C2=C(C=C(C=C2)C(C2=CC=C3C(=O)N(*)C(=O)C3=C2)(C(F)(F)F)C(F)(F)F)C1=O,1.2221289478,0.0074813591680962,10,0.4696120535383933,0.2538955696754039,0.08,-1.0969100130080565
Perm837,Polyimides_NEW,*c1cccc2c(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cccc12,1.0584244866,0.0064747591915536,10,0.4930021353908231,0.3216528083431436,0.017,-1.7695510786217261
Perm838,Polyimides_NEW,*CC1(C)CC(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)CC(C)(C)C1,1.0554013781,0.0073110912337994,10,0.5371395178181623,0.2630328764615646,0.113,-0.9469215565165803
