PID,Type,SMILES,density_MD,density_MD_std,n_repeat_vdw,vdw,FFV,H2,H2_log10
Perm134,Polysulfones,*OC1=CC=C(C=C1)C1=NN(C2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C(=O)C2=C1C=CC=C2,1.2088721623,0.0078387666622737,10,0.4988599830378865,0.2160246697060635,2.4,0.38021124171160603
Perm135,Polysulfones,*OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OC2=CC3=CC(*)=CC=C3C=C2)C=C1,1.2329637754,0.0076157474459343,10,0.5018617413175694,0.1955894485051528,8.15,0.9111576087399766
Perm136,Polysulfones,*OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OC2=CC3=CC=C(*)C=C3C=C2)C=C1,1.2108570799,0.0072601158913988,10,0.5014310403721554,0.2106902770888788,7.25,0.8603380065709937
Perm140,Polysulfones,*OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OC2=CC=CC3=C(*)C=CC=C23)C=C1,1.1951643291999998,0.007682652720142,10,0.5017820295008062,0.2203744224991707,8.1,0.9084850188786497
Perm144,Polysulfones,*OC1=CC=C(OC2=CC=C(OC3=CC=C(C=C3)S(=O)(=O)C3=CC=C(*)C=C3)C=C2)C=C1,1.2241242644,0.0069766951784383,10,0.504191982549176,0.1976482683192959,15.0,1.1760912590556813
Perm145,Polyesters,*OCCCCCC(*)=O,1.00085262148,0.0091501543680355,10,0.5988415351511721,0.2208422436006943,5.06,0.7041505168397991
Perm147,High Temperature Polymers,BrC1=C(C=CC(*)=C1)C1=NC2=C(N1)C=CC(=C2)C1=CC2=C(NC(*)=N2)C=C1,1.2616073604999998,0.0083840210996901,10,0.4432641008045893,0.2730071721133712,0.38,-0.42021640338318983
Perm149,Uncategorised,BrC1=CC(=CC(Br)=C1O*)C1(C2C=CC=CC2C2C=CC=CC12)C1=CC(Br)=C(OC(=O)C2=CC=CC(=C2)C(*)=O)C(Br)=C1,1.409526249,0.0100186736307616,10,0.387800710033672,0.2894001357747121,62.2,1.7937903846908188
Perm150,Uncategorised,BrC1=CC(=CC(Br)=C1O*)C1(OC(=O)C2=C1C=CC=C2)C1=CC(Br)=C(OC(=O)C2=CC=CC(=C2)C(*)=O)C(Br)=C1,1.5597772854999998,0.0097406271828776,10,0.3621245630378863,0.2657162316674597,27.1,1.4329692908744058
Perm151,Parylenes,BrC1=CC(C*)=CC=C1C*,1.4796808071999998,0.0088862200374648,10,0.4153577857935408,0.2010239731122716,0.452,-0.3448615651886179
Perm157,Vinyl and Vinylidene Polymers,CC(*)(C*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.5164963537999998,0.011611479306766,10,0.369260445828194,0.2720232443886758,82.0,1.9138138523837167
Perm159,Polymers with High Free Volume,CC(*)=C(*)C1=CC=CC=C1,0.7767120070000001,0.0104054460604849,10,0.6072797391765796,0.3868140954658389,199.0,2.298853076409707
Perm162,Vinyl and Vinylidene Polymers,CC(=O)OC(*)C*,1.032162875,0.0081585704521894,10,0.5592897899314087,0.2495383952061265,9.19,0.9633155113861113
Perm165,Polyimides_NEW,CC(=O)OC1=CC=C2C=C(C=CC2=C1C1=C(OC(C)=O)C=CC2=CC(*)=CC=C12)N1C(=O)C2=C(C=C(C=C2)C(=O)C2=CC3=C(C=C2)C(=O)N(*)C3=O)C1=O,1.1485531958,0.0082961764224765,10,0.4969873618660975,0.2579386504334274,4.67,0.6693168805661122
Perm166,Polyimides_NEW,CC(=O)OC1=CC=C2C=C(C=CC2=C1C1=C(OC(C)=O)C=CC2=CC(*)=CC=C12)N1C(=O)C2=C(C=C(C=C2)C(C2=CC3=C(C=C2)C(=O)N(*)C3=O)(C(F)(F)F)C(F)(F)F)C1=O,1.1308646625,0.0096996787648264,10,0.4668040035395299,0.3137402025087068,6.56,0.8169038393756602
Perm167,Polyimides_NEW,CC(=O)OC1=CC=C2C=C(C=CC2=C1C1=C(OC(C)=O)C=CC2=CC(*)=CC=C12)N1C(=O)C2=C(C=C(OC3=CC4=C(C=C3)C(=O)N(*)C4=O)C=C2)C1=O,1.1423952909,0.0075619748308235,10,0.4958865527510382,0.2635519985115534,3.18,0.5024271199844327
Perm169,Cellulosic Polymers,CC(=O)OC1OC(O*)C(OC(C)=O)C(O)C1*,1.0757398222,0.0093928445820832,10,0.4936715846280718,0.3096191625251074,12.0,1.0791812460476249
Perm171,Hydrocarbon Elastomers,CC(C)(*)C*,0.78849400739,0.0067979927592563,10,0.7276020667265286,0.2541771698080193,13.3,1.1238516409670858
Perm173,High Temperature Polymers,CC(C)(C)C1=CC(*)=CC(=C1)C1=NC2=C(N1)C=CC(=C2)C1=CC2=C(NC(*)=N2)C=C1,0.99683820007,0.0078131676647893,10,0.5488989471712824,0.2886875299258989,10.68,1.0285712526925377
Perm176,Polyarylates,CC(C)(C)C1=CC(=CC(=C1)C(=O)OC1=C(Br)C=C(C=C1Br)C(C)(C)C1=CC(Br)=C(O*)C(Br)=C1)C(*)=O,1.4446658724,0.0094842677212733,10,0.387759321455502,0.2717625440647316,53.95,1.7319914490189294
Perm177,Polyarylates,CC(C)(C)C1=CC(=CC(=C1)C(=O)OC1=C(Br)C=C(C=C1Br)C(C1=CC(Br)=C(O*)C(Br)=C1)(C(F)(F)F)C(F)(F)F)C(*)=O,1.4472773782999997,0.0108526137718136,10,0.358983276989629,0.3245871112323792,149.0,2.173186268412274
Perm178,Polyarylates,CC(C)(C)C1=CC(=CC(=C1)C(=O)OC1=C(Br)C=C(C=C1Br)C1(C2C=CC=CC2C2C=CC=CC12)C1=CC(Br)=C(O*)C(Br)=C1)C(*)=O,1.2889871696,0.0107231441808174,10,0.409460396921228,0.3138740424819779,139.0,2.143014800254095
Perm179,Uncategorised,CC(C)(C)C1=CC(=CC(=C1)C(=O)OC1=C(Br)C=C(C=C1Br)C1(OC(=O)C2=C1C=CC=C2)C1=CC(Br)=C(O*)C(Br)=C1)C(*)=O,1.409337969,0.00952275070614,10,0.3865984637684674,0.2916977381302363,67.4,1.8286598965353198
Perm180,Polyarylates,CC(C)(C)C1=CC(=CC(=C1)C(=O)OC1=C(Br)C=C(C=C1Br)C1(OC(=O)C2C=CC=CC12)C1=CC(Br)=C(O*)C(Br)=C1)C(*)=O,1.3722464939,0.0138191006093466,10,0.3906361554869307,0.3031361768152293,67.5,1.8293037728310249
Perm187,Substituted Polyacetylenes,CC(C)(C)C1=CC=C(C=C1)C(*)=C(*)C1=CC=C(O)C=C1,0.77806062664,0.011267171132865,10,0.5957391570412133,0.3974224636060867,340.0,2.531478917042255
Perm189,Substituted Polyacetylenes,CC(C)(C)C1=CC=C(C=C1)C(*)=C(*)C1=CC=CC(O)=C1,0.7813534859800001,0.0105944403448437,10,0.595669951435307,0.3949425690382311,1700.0,3.230448921378274
Perm194,Substituted Polyacetylenes,CC(C)(C)C1=CC=C(C=C1)C1=CC=C(C=C1)C(*)=C(*)C1=CC=CC=C1,0.8188735849800001,0.0093727160271275,10,0.602132221163723,0.3590087782507993,455.0,2.6580113966571126
Perm200,Vinyl and Vinylidene Polymers,CC(C)(C)OC(=O)C(*)C(*)C(=O)OC1CCCCC1,0.91437271299,0.0093333473387498,10,0.5850930741585831,0.3045089159589441,72.0,1.8573324964312685
Perm201,Vinyl and Vinylidene Polymers,CC(C)(C)OC(=O)C(C)(*)C*,0.82540611453,0.0097989938657096,10,0.6200458467150395,0.3346734768822179,62.2,1.7937903846908188
Perm208,Polycarbonates,CC(C)(C1=CC(Br)=C(*)C(Br)=C1)C1=CC(Br)=C(OC(=O)O*)C(Br)=C1,1.7447477047,0.0130659305604246,10,0.3297237284867724,0.2521298659988512,43.0,1.6334684555795864
Perm209,Polyarylates,CC(C)(C1=CC(Br)=C(O*)C(Br)=C1)C1=CC(Br)=C(OC(=O)C2=CC=CC(=C2)C(*)=O)C(Br)=C1,1.5713714528,0.0106639129141423,10,0.3600115772643766,0.2645745102520341,18.05,1.2564772062416767
Perm212,High Temperature Polymers,CC(C)(C1=CC2N=C(*)OC2C=C1)C1=CC=C2OC(=NC2=C1)C1=CC=C(C=C1)C(=O)C1=CC=C(*)C=C1,1.0743312649,0.0069549052191964,10,0.5362018258349778,0.2511240984717244,12.5,1.0969100130080565
Perm213,Polyimides and Polypyrrolones,CC(C)(C1=CC=C(*)C=C1)C1=CC(=CC=C1)N1C(=O)C2=CC=C(C=C2C1=O)C(C1=CC=C2C(=O)N(*)C(=O)C2=C1)(C(F)(F)F)C(F)(F)F,1.1644850845,0.0082593678626308,10,0.4728217391973394,0.2842279782005539,38.2,1.5820633629117087
Perm217,High Temperature Polymers,CC(C)(C1=CC=C(*)C=C1)C1=CC=C(C=C1)C1=NC2=C(N1)C=CC(=C2)C1=CC2=C(NC(*)=N2)C=C1,1.046399234,0.0066877365236583,10,0.5467958637425853,0.2561831951330076,12.2,1.0863598306747482
Perm220,Polyimides and Polypyrrolones,CC(C)(C1=CC=C(*)C=C1)C1=CC=C(C=C1)N1C(=O)C2=C(C=C(OC3=CC=C(OC4=CC=C5C(=O)N(*)C(=O)C5=C4)C=C3)C=C2)C1=O,1.1561834556,0.0073702326876849,10,0.5159957143112466,0.2244385795386823,9.33,0.9698816437465
