PID,Type,SMILES,density_MD,density_MD_std,n_repeat_vdw,vdw,FFV,H2,H2_log10
LP100,semi-ladder,CC(C)(C)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC2=C(C=C1)C1C3=C(C=CC=C3)C2C2=C1C=C(*)C=C2)C(C)(C)C,0.91349881216,0.0059026993733829,5,0.5436331386579754,0.354409305660665,198.0,2.296665190261531
LP101,semi-ladder,CC(C)(C)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=C(O)C=C2C(=C1)C1=C(C=CC=C1)C21C2=C(C=CC=C2)C2=C1C=C(O)C(*)=C2)C(C)(C)C,0.87294918712,0.0049935000658554,5,0.5294948242208499,0.3991113006958102,162.0,2.2095150145426308
LP102,semi-ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C(O)C(=C3)N2C(=O)C3=C(C=C(C=C3)C(C3=CC=C4C(=O)N(*)C(=O)C4=C3)(C(F)(F)F)C(F)(F)F)C2=O)C2=CC(O)=C(*)C=C12,1.0513652704,0.0064211373654244,5,0.4772514907547615,0.3477046645859621,181.0,2.2576785748691846
LP103,semi-ladder,CC(C)(C)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=C2CN3CN(CC4=C3C=CC(O)=C4*)C2=CC=C1O)C(C)(C)C,0.95868708628,0.0063184395106859,5,0.527831654722399,0.3421669915541819,167.0,2.2227164711475833
LP104,semi-ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2C(=O)N(C(=O)C2=C3)C2=C3CN4CN(CC5=C4C=CC(O)=C5*)C3=CC=C2O)C2=CC3=C(C=C12)C(=O)N(*)C3=O,1.00450217725,0.0060361407589471,5,0.5120663014799884,0.3313167708470956,467.0,2.6693168805661123
LP14,ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2N(C*)CN(*)CC2=C3)C2=CC(*)=C(*)C=C12,0.84013608878,0.0073017136394995,5,0.5786064184133126,0.368059426698606,2200.0,3.342422680822206
LP17,ladder,CC1(C)CCC(C)(C)C2=CC3=CC4=C(C=C3C=C12)C1C2=C(C=C(*)C(*)=C2)C4C2=C1C=C1CN(*)CN(*)C1=C2,0.84576393185,0.0073369606277403,5,0.5614137125517299,0.3827294904010662,6100.0,3.785329835010767
LP19,ladder,CC(C)C12C3=CC4=NC5=C(C=C(*)C(*)=C5)N=C4C=C3C(C(C)C)(C3=C1C=CC=C3)C1=C(O*)C(O*)=CC=C21,0.8981380454,0.0072480574620618,5,0.5347179922562527,0.3756742558731839,2666.0,3.4258601450778405
LP20,ladder,CCCC12C3=CC=C(O*)C(O*)=C3C(CCC)(C3=CC4=NC5=C(C=C(*)C(*)=C5)N=C4C=C13)C1=C2C=CC=C1,0.89302588971,0.0078600629376076,5,0.5353377885818831,0.378508343573164,655.0,2.816241299991783
LP21,semi-ladder,CC1=CC2=C(CN3CN2CC2=C3C=C(C)C(N3C(=O)C4=CC=C(C=C4C3=O)C(C3=CC4=C(C=C3)C(=O)N(*)C4=O)(C(F)(F)F)C(F)(F)F)=C2C)C(C)=C1*,1.0233313029,0.0061387032762331,5,0.4781573485100747,0.3638926028253687,1446.0,3.160168292958512
LP23,semi-ladder,CC1=CC2=C(CN3CN2CC2=C3C=C(C)C(N3C(=O)C4=CC5=C(C=C4C3=O)C3(C4=CC6=C(C=C4C4=C3C=CC=C4)C(=O)N(*)C6=O)C3=C5C=CC=C3)=C2C)C(C)=C1*,0.87753049883,0.0053375801520535,5,0.5181434437762228,0.4089073229128243,3200.0,3.505149978319906
LP24,semi-ladder,CC1=CC2=C(CN3CN2CC2=C3C=C(C)C(N3C(=O)C4=CC5=C(C=C4C3=O)C3(CC(C)(C)C4=CC6=C(C=C34)C(=O)N(*)C6=O)CC5(C)C)=C2C)C(C)=C1*,0.84601439095,0.0061950588138313,5,0.5400567494173212,0.4060354834822487,2901.0,3.4625477288026643
LP32,semi-ladder,CC(C)C12C3=CC(*)=C(*)C=C3C(C(C)C)(C3=C1C=CC=C3)C1=C2C=C2OC3=C(OC2=C1)C=C1C(=O)N(C(=O)C1=C3)C1=CC=C(OC2=CC=C(C=C2)N2C(=O)C3=C(C=C(O*)C(O*)=C3)C2=O)C=C1,1.0398943506,0.0048945985283384,5,0.5072227274951167,0.3143045365364764,302.0,2.4800069429571505
LP35,semi-ladder,CCC12C3=CC(*)=C(*)C=C3C(CC)(C3=C1C=CC=C3)C1=C2C=C2OC3=C(OC2=C1)C=C1C(=O)N(C(=O)C1=C3)C1=CC=C(C=C1)C(C1=CC=C(C=C1)N1C(=O)C2=C(C=C(O*)C(O*)=C2)C1=O)(C(F)(F)F)C(F)(F)F,1.0700163073,0.0057195154555786,5,0.4747001304944204,0.3396820550815919,712.0,2.8524799936368566
LP36,semi-ladder,CC(C)C12C3=CC(*)=C(*)C=C3C(C(C)C)(C3=C1C=CC=C3)C1=C2C=C2OC3=C(OC2=C1)C=C1C(=O)N(C(=O)C1=C3)C1=CC(=CC=C1C)C(C1=CC(N2C(=O)C3=C(C=C(O*)C(O*)=C3)C2=O)=C(C)C=C1)(C(F)(F)F)C(F)(F)F,1.0375733995999998,0.0057468045491721,5,0.488552776387134,0.3410178253959776,409.0,2.611723308007342
LP41,semi-ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2OC4=C(OC2=C3)C=C2C(=O)N(C(=O)C2=C4)C2=CC=C(C=C2)C(C2=CC=C(C=C2)N2C(=O)C3=C(C=C(*)C(*)=C3)C2=O)(C(F)(F)F)C(F)(F)F)C2=CC(O*)=C(O*)C=C12,1.0995425658,0.0057475781801997,5,0.4781513578592132,0.3165278978803447,360.0,2.5563025007672873
LP44,semi-ladder,CC1=CC(C2=CC(C)=C(*)C3=C2C=CC=C3)=C2C=CC=CC2=C1N1C(=O)C2=CC3=C(C=C2C1=O)C1(C)CCC3(C)C2=C1C=C1C(=O)N(*)C(=O)C1=C2,0.8143854178100001,0.0053979845052134,5,0.5266214702841648,0.442465300063388,4230.0,3.6263403673750423
LP47,semi-ladder,CC(C)C12C3=CC(*)=C(*)C=C3C(C(C)C)(C3=C1C=CC=C3)C1=C2C=C2OC3=C(OC2=C1)C=C1C(=O)N(C(=O)C1=C3)C1=CC(=CC=C1)N1C(=O)C2=C(C=C(O*)C(O*)=C2)C1=O,1.02188784832,0.0054324298762778,5,0.5050045277506201,0.3291246126685794,431.0,2.6344772701607315
LP5,ladder,CC12CCC(C)(C3=CC(*)=C(*)C=C13)C1=C2C=C2CN(*)CN(C*)C2=C1,0.8577382926499999,0.0090449218547952,5,0.5590046297325926,0.3766764203026368,7760.0,3.8898617212581885
LP5,ladder,CC12CCC(C)(C3=CC(*)=C(*)C=C13)C1=C2C=C2CN(*)CN(C*)C2=C1,0.8577382926499999,0.0090449218547952,5,0.5594427562230179,0.3761878830744161,7760.0,3.8898617212581885
LP5,ladder,CC12CCC(C)(C3=CC(*)=C(*)C=C13)C1=C2C=C2CN(*)CN(C*)C2=C1,0.8577382926499999,0.0090449218547952,5,0.5590046297325926,0.3766764203026368,7310.0,3.8639173769578603
LP5,ladder,CC12CCC(C)(C3=CC(*)=C(*)C=C13)C1=C2C=C2CN(*)CN(C*)C2=C1,0.8577382926499999,0.0090449218547952,5,0.5594427562230179,0.3761878830744161,7310.0,3.8639173769578603
LP51,ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2N=C4C=C(O*)C(O*)=CC4=NC2=C3)C2=C1C=C(*)C(*)=C2,0.89685176161,0.006851640793699,5,0.5355147096692785,0.3756394960445518,1630.0,3.2121876044039577
LP64,semi-ladder,CC1=CC(*)=CC2=C1N1CN(C2)C2=C(C)C=C(C=C2C1)N1C(=O)C2=CC=C(C=C2C1=O)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C(F)(F)F)C(F)(F)F,1.1584775563,0.0061271589463089,5,0.4678682096070923,0.2953807338230954,253.0,2.403120521175818
LP65,semi-ladder,CC1=C(*)C=CC2=C1N1CN(C2)C2=C(C1)C=CC(N1C(=O)C3=CC=C(C=C3C1=O)C(C1=CC3=C(C=C1)C(=O)N(*)C3=O)(C(F)(F)F)C(F)(F)F)=C2C,1.1030032568,0.0069217527581891,5,0.4680178066380592,0.3289072855491763,390.0,2.591064607026499
LP66,semi-ladder,CC1=CC(*)=CC2=C1N1CN(C2)C2=C(C)C=C(C=C2C1)N1C(=O)C2=CC=C(OC3=CC4=C(C=C3)C(=O)N(*)C4=O)C=C2C1=O,1.1196614874000002,0.0054422113567494,5,0.5033176510075037,0.2673909933097435,36.4,1.561101383649056
LP67,semi-ladder,CC1=C(*)C=CC2=C1N1CN(C2)C2=C(C1)C=CC(N1C(=O)C3=CC=C(OC4=CC5=C(C=C4)C(=O)N(*)C5=O)C=C3C1=O)=C2C,1.0999830382999998,0.0064938018467002,5,0.5038106010852216,0.2795619495776874,159.0,2.2013971243204513
LP71,semi-ladder,CC1=CC(=C2C=CC=CC2=C1*)C1=C2C=CC=CC2=C(N2C(=O)C3=CC4=C(C=C3C2=O)C2(C3=CC5=C(C=C3C3=C2C=CC=C3)C(=O)N(*)C5=O)C2=C4C=CC=C2)C(C)=C1,0.93241651227,0.005171155820802,5,0.5171678192173784,0.373119441471165,3342.0,3.5240064455573727
LP73,semi-ladder,CC1=C(*)C2=CC=CC=C2C(=C1)C1=CC(C)=C(N2C(=O)C3=CC4=C(C=C3C2=O)C2(C)C3=C(C=CC=C3)C4(C)C3=C2C=C2C(=O)N(*)C(=O)C2=C3)C2=C1C=CC=C2,0.84641932135,0.0053379664809719,5,0.5240291508464254,0.4233870823048373,3050.0,3.484299839346786
LP74,semi-ladder,CC(C)C12C3=C(C=CC=C3)C(C(C)C)(C3=C1C=C1C(=O)N(*)C(=O)C1=C3)C1=C2C=C2C(=O)N(C(=O)C2=C1)C1=C(C)C=C(C2=CC(C)=C(*)C3=CC=CC=C23)C2=C1C=CC=C2,0.792625379,0.0048696169577286,5,0.5369994508210664,0.4466687888012085,2233.0,3.348888723071438
LP75,Linear,FC(F)(F)C1=C(OC2=C3C4C5=C(C=CC=C5)C(C5=C4C=CC=C5)C3=C(OC3=C(C=C(C=C3)N3C(=O)C4=CC=C(OC5=CC=C(OC6=CC=C7C(=O)N(*)C(=O)C7=C6)C6=C5C5C7=C(C=CC=C7)C6C6=C5C=CC=C6)C=C4C3=O)C(F)(F)F)C3=C2C2C4=C(C=CC=C4)C3C3=C2C=CC=C3)C=CC(*)=C1,1.0675524415,0.0046362610848025,5,0.4904521102856146,0.3193416478934944,96.0,1.9822712330395684
LP76,Linear,FC(F)(F)C1=C(OC2=C3C4C5=C(C=CC=C5)C(C5=C4C=CC=C5)C3=C(OC3=C(C=C(C=C3)N3C(=O)C4=CC=C(OC5=CC=C(OC6=CC=C7C(=O)N(*)C(=O)C7=C6)C6=C5C5C7=C(C=CC=C7)C6C6=C5C=CC=C6)C=C4C3=O)C(F)(F)F)C=C2)C=CC(*)=C1,1.1256621264,0.0047936666018062,5,0.4847834659253724,0.2905868967737484,36.0,1.5563025007672873
LP77,semi-ladder,CC1=CC(=C2C=CC=CC2=C1*)C1=C2C=CC=CC2=C(N2C(=O)C3=CC4=C(C=C3C2=O)C2CC(C4)C3=C(C2)C=C2C(=O)N(*)C(=O)C2=C3)C(C)=C1,0.8797789135099999,0.0056511549648553,5,0.5214393502374371,0.4036232514827714,1295.0,3.1122697684172707
LP78,semi-ladder,CC1=CC(=C2C=CC=CC2=C1*)C1=C2C=CC=CC2=C(N2C(=O)C3=CC4=C(C=C3C2=O)C(=O)C2CC4C(=O)C3=C2C=C2C(=O)N(*)C(=O)C2=C3)C(C)=C1,0.87332836027,0.0051763340602958,5,0.5054355587322797,0.4261654299512428,1150.0,3.060697840353612
LP82,ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2OC4=C(OC2=C3)C(CN)=C(*)C(*)=C4CN)C2=CC(O*)=C(O*)C=C12,0.8368844427300001,0.0081967494877301,5,0.5362893815955714,0.416544087663786,3070.0,3.4871383754771865
LP88,Linear,FC(F)(F)C(C1=CC2=C(OC(*)=N2)C=C1)(C1=CC2=C(OC(=N2)C2=CC(OC3=CC=C(OC4=CC=CC(*)=C4)C4=C3C3C5=C(C=CC=C5)C4C4=C3C=CC=C4)=CC=C2)C=C1)C(F)(F)F,1.1678626833,0.0059902544317523,5,0.4827143407742259,0.2671327151308283,810.0,2.90848501887865
LP89,Linear,FC(F)(F)C(C1=CC2=C(OC(*)=N2)C=C1)(C1=CC2=C(OC(=N2)C2=CC=C(OC3=CC=C(OC4=CC=C(*)C=C4)C4=C3C3C5=C(C=CC=C5)C4C4=C3C=CC=C4)C=C2)C=C1)C(F)(F)F,1.1384435961,0.0061317971550325,5,0.4825372052151947,0.2858561914956011,92.0,1.9637878273455553
LP90,semi-ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C(O)C(=C3)N2C(=O)C3=C(C=C(C=C3)C(C3=CC=C4C(=O)N(*)C(=O)C4=C3)(C(F)(F)F)C(F)(F)F)C2=O)C2=CC(O)=C(*)C=C12,1.0626918947,0.0061724946801012,5,0.4791920616179337,0.3379964241482506,259.0,2.413299764081252
LP91,semi-ladder,CC12C3=C(C=CC=C3)C(C)(C3=C1C=C1C(=O)N(*)C(=O)C1=C3)C1=C2C=C2C(=O)N(C(=O)C2=C1)C1=C(O)C=CC(=C1)C(C1=CC=C(O)C(*)=C1)(C(F)(F)F)C(F)(F)F,1.1399814336,0.0065127840909726,5,0.4662882549468735,0.3089720606512671,94.0,1.9731278535996986
LP92,semi-ladder,CC12C3=CC=C(*)C=C3C(C)(C3=C1C=CC=C3)C1=C2C=C(C=C1)C1=NC2=C(O1)C=CC(=C2)C(C1=CC=C2N=C(*)OC2=C1)(C(F)(F)F)C(F)(F)F,1.0687187977,0.0068198376720327,5,0.4806828507181026,0.3321707622172032,1547.0,3.1894903136993675
LP93,semi-ladder,FC(F)(F)C(C1=CC(*)=CC=C1)(C1=CC(=CC=C1)C1=NC2=CC3=C(C=C2O1)C1=C(C=CC=C1)C31C2=C(C=CC=C2)C2=C1C=C1OC(*)=NC1=C2)C(F)(F)F,1.0970369893,0.0069800939172341,5,0.4752495888449172,0.3222237084537618,985.0,2.9934362304976116
LP94,semi-ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2OC4=C(OC2=C3)C=CC(*)=C4)C2=CC3=C(OC4=CC(=CC=C4O3)C3=NC4=CC5=C(C=C4O3)C3=C(C=CC=C3)C53C4=C(C=CC=C4)C4=C3C=C3OC(*)=NC3=C4)C=C12,0.93841251801,0.0057557224692684,5,0.5160852710835786,0.3704088576309612,775.0,2.88930170250631
LP96,semi-ladder,CC1(C)CC2(CC(C)(C)C3=CC4=C(OC5=C(O4)C=CC(=C5)C4=NC5=C(O4)C=CC(=C5)C(C4=CC5=C(C=C4)N=C(*)O5)(C(F)(F)F)C(F)(F)F)C=C23)C2=CC3=C(OC4=CC(*)=CC=C4O3)C=C12,1.071805047,0.0062502094665352,5,0.4824274663176384,0.3278113488261325,245.0,2.3891660843645326
LP98,ladder,*CN1CN(*)CC2=C1C=CC1=CC3=C(C=C21)C1CC3C2=C1C=C1C=CC3=C(CN(*)CN3C*)C1=C2,1.0878271912,0.0069388978026728,5,0.5346991492359547,0.2438416442545082,4050.0,3.6074550232146687
LP99,semi-ladder,CC(C)(C)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC2=C(C=C1O)C1C3=C(C=CC=C3)C2C2=C1C=CC(*)=C2O)C(C)(C)C,0.90574154989,0.0054482115181984,5,0.5306148536261606,0.3752201041065816,127.0,2.103803720955957
