PID,Type,SMILES,density_MD,density_MD_std,n_repeat_vdw,vdw,FFV,O2,O2_log10
LP100,semi-ladder,CC(C)(C)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC2=C(C=C1)C1C3=C(C=CC=C3)C2C2=C1C=C(*)C=C2)C(C)(C)C,0.91349881216,0.0059026993733829,5,0.5436331386579754,0.354409305660665,25.4,1.404833716619938
LP101,semi-ladder,CC(C)(C)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=C(O)C=C2C(=C1)C1=C(C=CC=C1)C21C2=C(C=CC=C2)C2=C1C=C(O)C(*)=C2)C(C)(C)C,0.87294918712,0.0049935000658554,5,0.5294948242208499,0.3991113006958102,19.3,1.2855573090077739
LP102,semi-ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C(O)C(=C3)N2C(=O)C3=C(C=C(C=C3)C(C3=CC=C4C(=O)N(*)C(=O)C4=C3)(C(F)(F)F)C(F)(F)F)C2=O)C2=CC(O)=C(*)C=C12,1.0513652704,0.0064211373654244,5,0.4772514907547615,0.3477046645859621,23.8,1.376576957056512
LP103,semi-ladder,CC(C)(C)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=C2CN3CN(CC4=C3C=CC(O)=C4*)C2=CC=C1O)C(C)(C)C,0.95868708628,0.0063184395106859,5,0.527831654722399,0.3421669915541819,13.6,1.1335389083702174
LP104,semi-ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2C(=O)N(C(=O)C2=C3)C2=C3CN4CN(CC5=C4C=CC(O)=C5*)C3=CC=C2O)C2=CC3=C(C=C12)C(=O)N(*)C3=O,1.00450217725,0.0060361407589471,5,0.5120663014799884,0.3313167708470956,75.7,1.8790958795000727
LP14,ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2N(C*)CN(*)CC2=C3)C2=CC(*)=C(*)C=C12,0.84013608878,0.0073017136394995,5,0.5786064184133126,0.368059426698606,720.0,2.8573324964312685
LP17,ladder,CC1(C)CCC(C)(C)C2=CC3=CC4=C(C=C3C=C12)C1C2=C(C=C(*)C(*)=C2)C4C2=C1C=C1CN(*)CN(*)C1=C2,0.84576393185,0.0073369606277403,5,0.5614137125517299,0.3827294904010662,2030.0,3.307496037913213
LP19,ladder,CC(C)C12C3=CC4=NC5=C(C=C(*)C(*)=C5)N=C4C=C3C(C(C)C)(C3=C1C=CC=C3)C1=C(O*)C(O*)=CC=C21,0.8981380454,0.0072480574620618,5,0.5347179922562527,0.3756742558731839,368.0,2.5658478186735176
LP20,ladder,CCCC12C3=CC=C(O*)C(O*)=C3C(CCC)(C3=CC4=NC5=C(C=C(*)C(*)=C5)N=C4C=C13)C1=C2C=CC=C1,0.89302588971,0.0078600629376076,5,0.5353377885818831,0.378508343573164,101.0,2.0043213737826426
LP21,semi-ladder,CC1=CC2=C(CN3CN2CC2=C3C=C(C)C(N3C(=O)C4=CC=C(C=C4C3=O)C(C3=CC4=C(C=C3)C(=O)N(*)C4=O)(C(F)(F)F)C(F)(F)F)=C2C)C(C)=C1*,1.0233313029,0.0061387032762331,5,0.4781573485100747,0.3638926028253687,408.0,2.61066016308988
