PID,Type,SMILES,density_MD,density_MD_std,n_repeat_vdw,vdw,FFV,N2,N2_log10
Perm227,Polysulfones,CC(C)(C1=CC=C(O*)C=C1)C1=CC=C(C=C1)C(C)(C)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,1.0942543519,0.0079222820366169,10,0.5501938223907736,0.2173324200985203,0.3205,-0.4941719661451638
Perm228,Polycarbonates,CC(C)(C1=CC=C(O*)C=C1)C1=CC=C(OC(*)=O)C=C1,1.1034996661999998,0.0072595901293491,10,0.5506457656063612,0.210071355896618,0.3,-0.5228787452803376
Perm229,Polyarylates,CC(C)(C1=CC=C(O*)C=C1)C1=CC=C(OC(=O)C2=CC=C(C=C2)C(*)=O)C=C1,1.1015192406999998,0.0077387530576612,10,0.5442035791399402,0.2207140727354158,0.625,-0.2041199826559248
Perm230,Polyarylates,CC(C)(C1=CC=C(O*)C=C1)C1=CC=C(OC(=O)C2=CC=C(C=C2)C(=O)OC2=CC(C3=CC(*)=CC4=C3C=CC=C4)=C3C=CC=CC3=C2)C=C1,1.0997361366,0.0073051311917191,10,0.5417375949480022,0.2255010673651808,0.364,-0.438898616350944
Perm231,Polyarylates,CC(C)(C1=CC=C(O*)C=C1)C1=CC=C(OC(=O)C2=CC=CC(=C2)C(*)=O)C=C1,1.1199427872,0.0072901773406189,10,0.5436931914326588,0.2084231513468183,0.272,-0.5654310959658012
Perm232,Polyarylates,CC(C)(C1=CC=C(O*)C=C1)C1=CC=C(OC(=O)C2=CC=CC(=C2)C(=O)OC2=CC(C3=CC(*)=CC4=C3C=CC=C4)=C3C=CC=CC3=C2)C=C1,1.091438158,0.0072591015264912,10,0.541167198281485,0.2321543109189257,0.139,-0.8569851997459049
Perm234,Polyimides and Polypyrrolones,CC(C)(C1=CC=C(O*)C=C1)C1=CC=C(OC2=CC3=C(C=C2)C(=O)N(C3=O)C2=CC=C(C=C2)N2C(=O)C3=C(C=C(*)C=C3)C2=O)C=C1,1.1503526066,0.0068737966117929,10,0.5158413586586061,0.2285807130174829,0.53,-0.27572413039921095
Perm235,Uncategorised,CC(C)(C1=CC=C(O*)C=C1)C1=CC=C(OC2=CC3=C(C=C2)C(=O)N(C3=O)C2=CC=CC(=C2)N2C(=O)C3=C(C=C(*)C=C3)C2=O)C=C1,1.1446848312,0.0071176109326187,10,0.5161896743747619,0.2318631626374854,0.0526,-1.279014255846261
Perm236,Poly(aryl ethers) and Poly(aryl ether ketones),CC(C)(C1=CC=C(O*)C=C1)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)C=C1,1.0964141053,0.0071914033034321,10,0.5562269608054993,0.2071883887521104,0.16,-0.7958800173440752
Perm237,Poly(aryl ethers) and Poly(aryl ether ketones),CC(C)(C1=CC=C(O*)C=C1)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)C=C1,1.1133915669,0.0069377917392114,10,0.5511811388320172,0.202215438647122,0.087,-1.0604807473813815
Perm238,Uncategorised,CC(C)(C1=CC=C(O*)C=C1)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(C=C2)C(C)(C)C2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)C=C1,1.0646093057,0.0069672447233172,10,0.5641833341433801,0.2191747240551366,0.21,-0.6777807052660807
Perm239,Polysulfones,CC(C)(C1=CC=C(O*)C=C1)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=C3C=CC=CC3=C(*)C=C2)C=C1,1.1326362285,0.0088014115419282,10,0.5307392322274939,0.2185251730007253,0.15,-0.8239087409443188
Perm240,Polysulfones,CC(C)(C1=CC=C(O*)C=C1)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,1.1493792687,0.0074688446735735,10,0.5311433550176778,0.2063692907453921,0.25,-0.6020599913279624
Perm241,Poly(aryl ethers) and Poly(aryl ether ketones),CC(C)(C1=CC=C(O*)C=C1)C1=CC=C(OCCC(O)*)C=C1,1.0609753534000002,0.0071717170747268,10,0.574610503915514,0.2074581428031507,0.019,-1.7212463990471711
Perm242,Polyimides and Polypyrrolones,CC(C)(C1=CC=C(OC2=CC3=C(C=C2)C(=O)N(C3=O)C2=CC=C(C=C2)C2=CC(=C(OC3=CC4=C(C=C3)C(C)(C)CC43CC(C)(C)C4=C3C=C(OC3=CC=C(C=C3C(F)(F)F)C3=CC=C(*)C=C3)C=C4)C=C2)C(F)(F)F)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(*)C(=O)C3=C2)C=C1,1.1214847458,0.0076131425436906,10,0.5136876373439633,0.2510792957965135,1.02,0.00860017176191757
