PID,Type,SMILES,density_MD,density_MD_std,n_repeat_vdw,vdw,FFV,O2,O2_log10
Perm67,Polyimides and Polypyrrolones,*N1C(=O)C2=C(C=C(C=C2)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C(OC3=CC=C(*)C=C3)C=C2)C1=O,1.1776905628,0.0067508761362361,10,0.4944583958256607,0.2429853176005602,0.1745,-0.7582045687048014
Perm68,Polyimides and Polypyrrolones,*N1C(=O)C2=C(C=C(C=C2)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C(OC3=CC=C(C=C3)S(=O)(=O)C3=CC=C(OC4=CC=C(*)C=C4)C=C3)C=C2)C1=O,1.2031160243,0.0068571331703194,10,0.4892246651732577,0.2348277556014268,0.368,-0.43415218132648237
Perm69,Polyimides and Polypyrrolones,*N1C(=O)C2=C(C=C(C=C2)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C(OC3=CC=C(OC4=CC=C(OC5=CC=C(*)C=C5)C=C4)C=C3)C=C2)C1=O,1.2059586132,0.0071573228454079,10,0.5034500894147224,0.210718036860207,0.256,-0.5917600346881504
Perm71,Polyimides and Polypyrrolones,*N1C(=O)C2=C(C=C(C=C2)S(=O)(=O)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C(CC3=CC=C(*)C=C3)C=C2)C1=O,1.253213856,0.0065821822954027,10,0.4846227158704742,0.2104633268004019,0.296,-0.5287082889410615
Perm72,Polyimides and Polypyrrolones,*N1C(=O)C2=C(C=C(C=C2)S(=O)(=O)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C(OC3=CC=C(*)C=C3)C=C2)C1=O,1.2210342161,0.0063707663185739,10,0.4734895589151885,0.2484089618779953,0.2,-0.6989700043360187
Perm73,Polyimides and Polypyrrolones,*N1C(=O)C2=C(C=C(OC3=CC=C(OC4=CC=C5C(=O)N(C(=O)C5=C4)C4=CC=C(CC5=CC=C(*)C=C5)C=C4)C=C3)C=C2)C1=O,1.2113698788,0.0069615326401138,10,0.5040911193051276,0.2061669624741485,0.242,-0.6161846340195687
Perm74,Polyimides and Polypyrrolones,*N1C(=O)C2=C(C=C(OC3=CC=C(OC4=CC=C5C(=O)N(C(=O)C5=C4)C4=CC=C(OC5=CC=C(*)C=C5)C=C4)C=C3)C=C2)C1=O,1.2378936986,0.0064585066180668,10,0.49461100170432,0.2040414050515849,0.216,-0.6655462488490691
Perm75,Polyimides and Polypyrrolones,*N1C(=O)C2=C(C=C(OC3=CC=C4C(=O)N(C(=O)C4=C3)C3=CC(*)=CC=C3)C=C2)C1=O,1.2361239312,0.0074154988334295,10,0.4799723139791554,0.2287031572900033,0.081,-1.0915149811213503
Perm76,Polyimides and Polypyrrolones,*N1C(=O)C2=C(C=C(OC3=CC=C4C(=O)N(C(=O)C4=C3)C3=CC=C(CC4=CC=C(*)C=C4)C=C3)C=C2)C1=O,1.1905518098000003,0.0067010234357021,10,0.5010336001207639,0.2245416027872993,0.261,-0.583359492661719
Perm78,Polyimides and Polypyrrolones,*N1C(=O)C2=C(C=C(SC3=CC=C4C(=O)N(C(=O)C4=C3)C3=CC=C(CC4=CC=C(*)C=C4)C=C3)C=C2)C1=O,1.1975321104,0.0068552724596114,10,0.4969732793166606,0.226316102009764,0.246,-0.6090648928966209
