PID,Type,SMILES,density_MD,density_MD_std,n_repeat_vdw,vdw,FFV,CO2,CO2_log10
LP100,semi-ladder,CC(C)(C)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC2=C(C=C1)C1C3=C(C=CC=C3)C2C2=C1C=C(*)C=C2)C(C)(C)C,0.91349881216,0.0059026993733829,5,0.5436331386579754,0.354409305660665,120.0,2.0791812460476247
LP101,semi-ladder,CC(C)(C)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=C(O)C=C2C(=C1)C1=C(C=CC=C1)C21C2=C(C=CC=C2)C2=C1C=C(O)C(*)=C2)C(C)(C)C,0.87294918712,0.0049935000658554,5,0.5294948242208499,0.3991113006958102,100.0,2.0
LP102,semi-ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C(O)C(=C3)N2C(=O)C3=C(C=C(C=C3)C(C3=CC=C4C(=O)N(*)C(=O)C4=C3)(C(F)(F)F)C(F)(F)F)C2=O)C2=CC(O)=C(*)C=C12,1.0513652704,0.0064211373654244,5,0.4772514907547615,0.3477046645859621,119.0,2.0755469613925306
LP103,semi-ladder,CC(C)(C)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=C2CN3CN(CC4=C3C=CC(O)=C4*)C2=CC=C1O)C(C)(C)C,0.95868708628,0.0063184395106859,5,0.527831654722399,0.3421669915541819,67.0,1.8260748027008264
LP104,semi-ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2C(=O)N(C(=O)C2=C3)C2=C3CN4CN(CC5=C4C=CC(O)=C5*)C3=CC=C2O)C2=CC3=C(C=C12)C(=O)N(*)C3=O,1.00450217725,0.0060361407589471,5,0.5120663014799884,0.3313167708470956,466.0,2.66838591669
LP106,semi-ladder,CC(C)C12C3=CC(*)=C(*)C=C3C(C(C)C)(C3=C1C=CC=C3)C1=C2C=C2OC3=C(OC2=C1)C=C1C(=O)N(C(=O)C1=C3)C1=CC(=CC=C1O)C(C1=CC(N2C(=O)C3=C(C=C(O*)C(O*)=C3)C2=O)=C(O)C=C1)(C(F)(F)F)C(F)(F)F,1.0704579323,0.0055540203797254,5,0.4754906744322689,0.3383094065650911,99.0,1.99563519459755
LP14,ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2N(C*)CN(*)CC2=C3)C2=CC(*)=C(*)C=C12,0.84013608878,0.0073017136394995,5,0.5786064184133126,0.368059426698606,2900.0,3.462397997898956
LP17,ladder,CC1(C)CCC(C)(C)C2=CC3=CC4=C(C=C3C=C12)C1C2=C(C=C(*)C(*)=C2)C4C2=C1C=C1CN(*)CN(*)C1=C2,0.84576393185,0.0073369606277403,5,0.5614137125517299,0.3827294904010662,6060.0,3.782472624166286
LP19,ladder,CC(C)C12C3=CC4=NC5=C(C=C(*)C(*)=C5)N=C4C=C3C(C(C)C)(C3=C1C=CC=C3)C1=C(O*)C(O*)=CC=C21,0.8981380454,0.0072480574620618,5,0.5347179922562527,0.3756742558731839,1549.0,3.190051417759206
LP20,ladder,CCCC12C3=CC=C(O*)C(O*)=C3C(CCC)(C3=CC4=NC5=C(C=C(*)C(*)=C5)N=C4C=C13)C1=C2C=CC=C1,0.89302588971,0.0078600629376076,5,0.5353377885818831,0.378508343573164,434.0,2.637489729512511
LP21,semi-ladder,CC1=CC2=C(CN3CN2CC2=C3C=C(C)C(N3C(=O)C4=CC=C(C=C4C3=O)C(C3=CC4=C(C=C3)C(=O)N(*)C4=O)(C(F)(F)F)C(F)(F)F)=C2C)C(C)=C1*,1.0233313029,0.0061387032762331,5,0.4781573485100747,0.3638926028253687,1672.0,3.2232362731029975
LP23,semi-ladder,CC1=CC2=C(CN3CN2CC2=C3C=C(C)C(N3C(=O)C4=CC5=C(C=C4C3=O)C3(C4=CC6=C(C=C4C4=C3C=CC=C4)C(=O)N(*)C6=O)C3=C5C=CC=C3)=C2C)C(C)=C1*,0.87753049883,0.0053375801520535,5,0.5181434437762228,0.4089073229128243,5140.0,3.710963118995276
LP24,semi-ladder,CC1=CC2=C(CN3CN2CC2=C3C=C(C)C(N3C(=O)C4=CC5=C(C=C4C3=O)C3(CC(C)(C)C4=CC6=C(C=C34)C(=O)N(*)C6=O)CC5(C)C)=C2C)C(C)=C1*,0.84601439095,0.0061950588138313,5,0.5400567494173212,0.4060354834822487,4476.0,3.6508900778563125
LP32,semi-ladder,CC(C)C12C3=CC(*)=C(*)C=C3C(C(C)C)(C3=C1C=CC=C3)C1=C2C=C2OC3=C(OC2=C1)C=C1C(=O)N(C(=O)C1=C3)C1=CC=C(OC2=CC=C(C=C2)N2C(=O)C3=C(C=C(O*)C(O*)=C3)C2=O)C=C1,1.0398943506,0.0048945985283384,5,0.5072227274951167,0.3143045365364764,286.0,2.456366033129043
LP35,semi-ladder,CCC12C3=CC(*)=C(*)C=C3C(CC)(C3=C1C=CC=C3)C1=C2C=C2OC3=C(OC2=C1)C=C1C(=O)N(C(=O)C1=C3)C1=CC=C(C=C1)C(C1=CC=C(C=C1)N1C(=O)C2=C(C=C(O*)C(O*)=C2)C1=O)(C(F)(F)F)C(F)(F)F,1.0700163073,0.0057195154555786,5,0.4747001304944204,0.3396820550815919,679.0,2.8318697742805017
LP36,semi-ladder,CC(C)C12C3=CC(*)=C(*)C=C3C(C(C)C)(C3=C1C=CC=C3)C1=C2C=C2OC3=C(OC2=C1)C=C1C(=O)N(C(=O)C1=C3)C1=CC(=CC=C1C)C(C1=CC(N2C(=O)C3=C(C=C(O*)C(O*)=C3)C2=O)=C(C)C=C1)(C(F)(F)F)C(F)(F)F,1.0375733995999998,0.0057468045491721,5,0.488552776387134,0.3410178253959776,322.0,2.507855871695831
LP41,semi-ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2OC4=C(OC2=C3)C=C2C(=O)N(C(=O)C2=C4)C2=CC=C(C=C2)C(C2=CC=C(C=C2)N2C(=O)C3=C(C=C(*)C(*)=C3)C2=O)(C(F)(F)F)C(F)(F)F)C2=CC(O*)=C(O*)C=C12,1.0995425658,0.0057475781801997,5,0.4781513578592132,0.3165278978803447,520.0,2.716003343634799
LP44,semi-ladder,CC1=CC(C2=CC(C)=C(*)C3=C2C=CC=C3)=C2C=CC=CC2=C1N1C(=O)C2=CC3=C(C=C2C1=O)C1(C)CCC3(C)C2=C1C=C1C(=O)N(*)C(=O)C1=C2,0.8143854178100001,0.0053979845052134,5,0.5266214702841648,0.442465300063388,7340.0,3.8656960599160706
LP45,semi-ladder,CC(C)C12C3=CC(*)=C(*)C=C3C(C(C)C)(C3=C1C=CC=C3)C1=C2C=C2OC3=C(OC2=C1)C=C1C(=O)N(C(=O)C1=C3)C1=CC(=CC=C1C)C(C1=CC(N2C(=O)C3=C(C=C(O*)C(O*)=C3)C2=O)=C(C)C=C1)(C(F)(F)F)C(F)(F)F,1.0892698338999998,0.0057009380684902,5,0.4886076717653825,0.308106723294013,325.0,2.5118833609788744
LP47,semi-ladder,CC(C)C12C3=CC(*)=C(*)C=C3C(C(C)C)(C3=C1C=CC=C3)C1=C2C=C2OC3=C(OC2=C1)C=C1C(=O)N(C(=O)C1=C3)C1=CC(=CC=C1)N1C(=O)C2=C(C=C(O*)C(O*)=C2)C1=O,1.02188784832,0.0054324298762778,5,0.5050045277506201,0.3291246126685794,349.0,2.5428254269591797
LP49,semi-ladder,*OC1=C2C3C4CCCCC4C(C4CCCCC34)C2=C(OC2=CC=C3N=C4N(C3=C2)C(=O)C2=CC=CC3=C2C4=CC=C3C2=CC=C3C4=NC5=C(C=C(*)C=C5)N4C(=O)C4=CC=CC2=C34)C2=C1C1C3=C(C=CC=C3)C2C2=C1C=CC=C2,0.98129899174,0.0043546362138615,5,0.5243144277678291,0.3311380148797025,137.0,2.1367205671564067
LP5,ladder,CC12CCC(C)(C3=CC(*)=C(*)C=C13)C1=C2C=C2CN(*)CN(C*)C2=C1,0.8577382926499999,0.0090449218547952,5,0.5590046297325926,0.3766764203026368,7140.0,3.8536982117761744
LP5,ladder,CC12CCC(C)(C3=CC(*)=C(*)C=C13)C1=C2C=C2CN(*)CN(C*)C2=C1,0.8577382926499999,0.0090449218547952,5,0.5594427562230179,0.3761878830744161,7140.0,3.8536982117761744
LP5,ladder,CC12CCC(C)(C3=CC(*)=C(*)C=C13)C1=C2C=C2CN(*)CN(C*)C2=C1,0.8577382926499999,0.0090449218547952,5,0.5590046297325926,0.3766764203026368,5100.0,3.7075701760979363
LP5,ladder,CC12CCC(C)(C3=CC(*)=C(*)C=C13)C1=C2C=C2CN(*)CN(C*)C2=C1,0.8577382926499999,0.0090449218547952,5,0.5594427562230179,0.3761878830744161,5100.0,3.7075701760979363
LP50,semi-ladder,*OC1=C2C3C4=C(C=CC=C4)C(C4=C3C=CC=C4)C2=C(OC2=CC=C3N=C4N(C3=C2)C(=O)C2=CC=CC3=C2C4=CC=C3C2=CC=C3C4=NC5=C(C=C(*)C=C5)N4C(=O)C4=CC=CC2=C34)C=C1,1.1272672733,0.0060066136587,5,0.5047573288812469,0.260304656851999,92.0,1.9637878273455553
LP51,ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2N=C4C=C(O*)C(O*)=CC4=NC2=C3)C2=C1C=C(*)C(*)=C2,0.89685176161,0.006851640793699,5,0.5355147096692785,0.3756394960445518,2523.0,3.4019172505175748
